id,WKT
104,"622146.106989986 5305320.53321656 0.0,622160.41539819 5305294.99571337 0.0,"
105,"622160.41539819 5305294.99571337 0.0,622338.897906337 5304996.84202685 0.0,"
106,"622338.897906337 5304996.84202685 0.0,622422.702001362 5304844.72190217 0.0,"
107,"622422.702001362 5304844.72190217 0.0,622435.201536884 5304810.07361826 0.0,"
108,"622435.201536884 5304810.07361826 0.0,622462.855231294 5304698.15905955 0.0,"
109,"622462.855231294 5304698.15905955 0.0,622464.746663657 5304682.33249991 0.0,"
110,"622464.746663657 5304682.33249991 0.0,622256.577865399 5304147.72727231 0.0,"
111,"621254.96184368 5304458.34729687 0.0,621251.074902215 5304458.58810952 0.0,"
112,"621251.074902215 5304458.58810952 0.0,621229.507345543 5304458.78008954 0.0,"
113,"621229.507345543 5304458.78008954 0.0,621224.931882585 5304458.68401676 0.0,"
114,"621224.931882585 5304458.68401676 0.0,621222.607236576 5304458.61296902 0.0,"
115,"621222.607236576 5304458.61296902 0.0,621201.278943246 5304451.327118 0.0,"
116,"621201.278943246 5304451.327118 0.0,621190.905833636 5304449.85294061 0.0,"
117,"621190.905833636 5304449.85294061 0.0,621177.391909946 5304452.98275961 0.0,"
118,"621177.391909946 5304452.98275961 0.0,621179.948477492 5304472.29419811 0.0,"
119,"621179.948477492 5304472.29419811 0.0,621179.875225694 5304482.91112438 0.0,"
120,"621179.875225694 5304482.91112438 0.0,621067.476331428 5304483.47728413 0.0,"
121,"621067.476331428 5304483.47728413 0.0,621046.723318274 5304479.07272121 0.0,"
122,"620893.991622828 5304435.15552372 0.0,621046.723318274 5304479.07272121 0.0,"
123,"620862.997382096 5304437.60874347 0.0,620893.991622828 5304435.15552372 0.0,"
124,"620813.212543177 5304442.30404534 0.0,620862.997382096 5304437.60874347 0.0,"
125,"620788.023130716 5304446.15779671 0.0,620813.212543177 5304442.30404534 0.0,"
126,"620788.023130716 5304446.15779671 0.0,620762.802307079 5304448.65450852 0.0,"
127,"620762.802307079 5304448.65450852 0.0,620752.219159279 5304445.77576351 0.0,620750.598481883 5304443.87391244 0.0,"
128,"620750.598481883 5304443.87391244 0.0,620749.131835823 5304433.89193173 0.0,620752.668703851 5304428.57329702 0.0,"
129,"620752.668703851 5304428.57329702 0.0,620772.051964239 5304237.09086523 0.0,620725.412244117 5304156.03809182 0.0,"
130,"620725.412244117 5304156.03809182 0.0,620683.455886525 5304127.48638731 0.0,"
131,"620683.455886525 5304127.48638731 0.0,620416.15936388 5303934.23248692 0.0,"
132,"620416.15936388 5303934.23248692 0.0,620336.160242144 5303841.56903241 0.0,"
133,"620985.485651007 5304261.83990423 0.0,621007.608315841 5304268.74129154 0.0,621013.703382113 5304266.64527699 0.0,"
134,"620951.994943942 5304350.5666599 0.0,620985.485651007 5304261.83990423 0.0,"
135,"620951.994943942 5304350.5666599 0.0,620930.287518877 5304383.84636004 0.0,"
136,"620930.287518877 5304383.84636004 0.0,620878.930188691 5304404.31909331 0.0,"
137,"620893.649195872 5304430.43398716 0.0,620878.930188691 5304404.31909331 0.0,"
138,"620893.649195872 5304430.43398716 0.0,620893.991622828 5304435.15552372 0.0,"
139,"620893.991622828 5304435.15552372 0.0,620894.211519344 5304438.58471514 0.0,"
140,"620894.211519344 5304438.58471514 0.0,620863.702323124 5304441.09256224 0.0,"
141,"620863.702323124 5304441.09256224 0.0,620797.707554953 5304449.80723748 0.0,"
142,"620797.707554953 5304449.80723748 0.0,620788.194815251 5304450.46435684 0.0,"
143,"620788.194815251 5304450.46435684 0.0,620746.966244915 5304455.18357499 0.0,"
144,"620746.966244915 5304455.18357499 0.0,620732.972116955 5304454.82420326 0.0,"
145,"620732.972116955 5304454.82420326 0.0,620567.73630568 5304497.73644672 0.0,"
146,"620567.73630568 5304497.73644672 0.0,620570.007768494 5304491.75751193 0.0,"
147,"620570.007768494 5304491.75751193 0.0,620471.522583162 5304497.65151999 0.0,"
148,"620471.522583162 5304497.65151999 0.0,620439.788991157 5304493.98736492 0.0,"
149,"620439.788991157 5304493.98736492 0.0,620313.493402358 5304512.19059411 0.0,"
150,"620439.788991157 5304493.98736492 0.0,620313.493402358 5304512.19059411 0.0,"
151,"620471.522583162 5304497.65151999 0.0,620439.788991157 5304493.98736492 0.0,"
152,"620570.007768494 5304491.75751193 0.0,620471.522583162 5304497.65151999 0.0,"
153,"620567.73630568 5304497.73644672 0.0,620570.007768494 5304491.75751193 0.0,"
154,"620732.972116955 5304454.82420326 0.0,620567.73630568 5304497.73644672 0.0,"
155,"620746.966244915 5304455.18357499 0.0,620732.972116955 5304454.82420326 0.0,"
156,"620788.194815251 5304450.46435684 0.0,620746.966244915 5304455.18357499 0.0,"
157,"620797.707554953 5304449.80723748 0.0,620788.194815251 5304450.46435684 0.0,"
158,"620863.702323124 5304441.09256224 0.0,620797.707554953 5304449.80723748 0.0,"
159,"620894.211519344 5304438.58471514 0.0,620863.702323124 5304441.09256224 0.0,"
160,"620893.991622828 5304435.15552372 0.0,620894.211519344 5304438.58471514 0.0,"
161,"620893.649195872 5304430.43398716 0.0,620893.991622828 5304435.15552372 0.0,"
162,"620893.649195872 5304430.43398716 0.0,620878.930188691 5304404.31909331 0.0,"
163,"620930.287518877 5304383.84636004 0.0,620878.930188691 5304404.31909331 0.0,"
164,"620951.994943942 5304350.5666599 0.0,620930.287518877 5304383.84636004 0.0,"
165,"620951.994943942 5304350.5666599 0.0,620985.485651007 5304261.83990423 0.0,"
166,"620985.485651007 5304261.83990423 0.0,621007.608315841 5304268.74129154 0.0,621013.703382113 5304266.64527699 0.0,"
167,"621013.703382113 5304266.64527699 0.0,621069.469597092 5304281.05684755 0.0,"
168,"621750.259493968 5310193.32874659 0.0,621200.106074408 5306951.62828293 0.0,621681.021495478 5306103.58523552 0.0,"
169,"621681.021495478 5306103.58523552 0.0,621691.170051815 5306086.48715218 0.0,"
170,"621691.170051815 5306086.48715218 0.0,622146.106989986 5305320.53321656 0.0,"
171,"622146.106989986 5305320.53321656 0.0,622160.41539819 5305294.99571337 0.0,"
172,"622160.41539819 5305294.99571337 0.0,622338.897906337 5304996.84202685 0.0,"
173,"622338.897906337 5304996.84202685 0.0,622422.702001362 5304844.72190217 0.0,"
174,"622422.702001362 5304844.72190217 0.0,622435.201536884 5304810.07361826 0.0,"
175,"622435.201536884 5304810.07361826 0.0,622462.855231294 5304698.15905955 0.0,"
176,"622462.855231294 5304698.15905955 0.0,622464.746663657 5304682.33249991 0.0,"
177,"622464.746663657 5304682.33249991 0.0,622256.577865399 5304147.72727231 0.0,"
178,"622210.804820389 5304174.01065004 0.0,622401.615381034 5304673.77746136 0.0,"
179,"622401.615381034 5304673.77746136 0.0,622458.361420208 5304688.57930543 0.0,"
180,"622458.361420208 5304688.57930543 0.0,622474.043621004 5304690.43527002 0.0,"
181,"622474.043621004 5304690.43527002 0.0,622512.446797184 5304681.77680205 0.0,"
182,"621254.96184368 5304458.34729687 0.0,621285.213183346 5304449.96535961 0.0,"
183,"621285.213183346 5304449.96535961 0.0,621301.01529988 5304459.68162518 0.0,"
184,"621301.01529988 5304459.68162518 0.0,621438.19575585 5304365.89835116 0.0,"
185,"621438.19575585 5304365.89835116 0.0,621429.919684235 5304313.07664324 0.0,"
186,"621429.919684235 5304313.07664324 0.0,621428.656788466 5304269.27526913 0.0,"
187,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
188,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
189,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
190,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
191,"621190.905833636 5304449.85294061 0.0,621177.391909946 5304452.98275961 0.0,"
192,"621177.391909946 5304452.98275961 0.0,621179.948477492 5304472.29419811 0.0,"
193,"621179.948477492 5304472.29419811 0.0,621179.875225694 5304482.91112438 0.0,"
194,"621257.956772572 5304482.77152316 0.0,621179.875225694 5304482.91112438 0.0,"
195,"621278.024495154 5304478.13397591 0.0,621257.956772572 5304482.77152316 0.0,"
196,"621304.921273199 5304469.21468795 0.0,621278.024495154 5304478.13397591 0.0,"
197,"621350.145651138 5304447.71616843 0.0,621304.921273199 5304469.21468795 0.0,"
198,"621419.261116454 5304397.36667922 0.0,621350.145651138 5304447.71616843 0.0,"
199,"621443.337948576 5304378.17050808 0.0,621419.261116454 5304397.36667922 0.0,"
200,"621453.544184444 5304373.00368502 0.0,621443.337948576 5304378.17050808 0.0,"
201,"621449.807772402 5304362.88478541 0.0,621453.544184444 5304373.00368502 0.0,"
202,"621428.656788466 5304269.27526913 0.0,621449.807772402 5304362.88478541 0.0,"
203,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
204,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
205,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
206,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
207,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
208,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
209,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
210,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
211,"621428.656788466 5304269.27526913 0.0,621449.807772402 5304362.88478541 0.0,"
212,"621449.807772402 5304362.88478541 0.0,621453.544184444 5304373.00368502 0.0,"
213,"621453.544184444 5304373.00368502 0.0,621443.337948576 5304378.17050808 0.0,"
214,"621443.337948576 5304378.17050808 0.0,621419.261116454 5304397.36667922 0.0,"
215,"621419.261116454 5304397.36667922 0.0,621350.145651138 5304447.71616843 0.0,"
216,"621350.145651138 5304447.71616843 0.0,621304.921273199 5304469.21468795 0.0,"
217,"621304.921273199 5304469.21468795 0.0,621278.024495154 5304478.13397591 0.0,"
218,"621278.024495154 5304478.13397591 0.0,621257.956772572 5304482.77152316 0.0,"
219,"621257.956772572 5304482.77152316 0.0,621179.875225694 5304482.91112438 0.0,"
220,"621179.875225694 5304482.91112438 0.0,621067.476331428 5304483.47728413 0.0,"
221,"621067.476331428 5304483.47728413 0.0,621046.723318274 5304479.07272121 0.0,"
222,"620893.991622828 5304435.15552372 0.0,621046.723318274 5304479.07272121 0.0,"
223,"620862.997382096 5304437.60874347 0.0,620893.991622828 5304435.15552372 0.0,"
224,"620813.212543177 5304442.30404534 0.0,620862.997382096 5304437.60874347 0.0,"
